query,std reasoner,std nodes explored,std min depth,success,time
1,std,6,5,True,0.0018840129999997401
2,std,2,1,True,0.0002977529999999007
3,std,2,1,True,0.0004490510000003667
4,std,4,2,True,0.0008153320000001685
5,std,18,2,True,0.008971174000000026
6,std,2,1,True,0.0002671840000001424
7,std,18,2,True,0.0077077089999999515
8,std,3,2,True,0.0007296039999999948
9,std,426,5,True,0.2848023849999999
10,std,18,2,True,0.00843707699999996
11,std,18,2,True,0.008400658000000227
12,std,3,2,True,0.0007561809999998559
13,std,36,4,True,0.010904935000000116
14,std,2,1,True,0.000410961000000043
15,std,4,3,True,0.0008541160000001824
16,std,2,1,True,0.0002918519999992597
17,std,3,2,True,0.0007298950000000914
18,std,4,3,True,0.0010999139999992025
19,std,4,3,True,0.0010267199999995924
20,std,61,8,True,0.02543428299999917
21,std,2,1,True,0.00031369699999928
22,std,3,2,True,0.00048379600000014733
23,std,18,2,True,0.0021344509999998706
24,std,3,2,True,0.0007996170000001968
25,std,2,1,True,0.00039250900000009636
26,std,2,1,True,0.00037918399999981034
27,std,18,5,True,0.00663617900000002
28,std,19,4,True,0.013668921999999917
29,std,4,2,True,0.0008535829999996025
30,std,41,4,True,0.009585073999999416
31,std,3,2,True,0.000856487999999267
32,std,22,4,True,0.003696544999999496
33,std,3,2,True,0.0006885880000000455
34,std,57,8,True,0.020863902000000323
35,std,18,2,True,0.007489675999999612
36,std,18,2,True,0.0071572550000000845
37,std,6,5,True,0.001991866000000009
38,std,2,1,True,0.00040211199999973246
39,std,315,7,True,0.0515318700000007
40,std,2,1,True,0.0002953489999999448
41,std,2,1,True,0.00028441599999950995
42,std,4,3,True,0.00100220800000006
43,std,439,8,True,0.048339679999999774
44,std,18,2,True,0.010319185000000175
45,std,4,3,True,0.001249817000000597
46,std,2,1,True,0.0004284650000005996
47,std,2,1,True,4.6808000000453376e-05
48,std,3,2,True,0.0007918569999993963
49,std,18,2,True,0.0011121670000004968
50,std,2,1,True,0.00030294299999944485
51,std,18,2,True,0.008530273999999949
52,std,71,3,True,0.014441137999999576
53,std,2,1,True,0.0006710810000001288
54,std,6,5,True,0.0019042059999998528
55,std,8,6,True,0.0020750050000000186
56,std,2,1,True,5.293399999928283e-05
57,std,18,2,True,0.0076015729999996395
58,std,4,3,True,0.0011175589999998792
59,std,18,2,True,0.0010108600000000578
60,std,5,4,True,0.0011993569999999565
61,std,3,2,True,6.079300000028098e-05
62,std,4,3,True,0.001091924000000688
63,std,3,2,True,0.0007394739999995181
64,std,2,1,True,0.00038204399999930416
65,std,4,2,True,0.0009263720000003417
66,std,5,3,True,0.0009086690000001951
67,std,4,2,True,0.0007854789999992562
68,std,6,3,True,0.0007375529999995578
69,std,2,1,True,0.0002658390000007671
70,std,3,2,True,0.0006097779999993946
71,std,18,5,True,0.0024062149999997118
72,std,3,2,True,6.565099999988888e-05
73,std,7,5,True,0.001170154000000423
74,std,2,1,True,0.0002787939999997491
75,std,2,1,True,0.00027315899999980076
76,std,4,2,True,0.0007887440000002854
77,std,17,2,True,0.005856771999999566
78,std,2,1,True,0.00040313800000024713
79,std,35,7,True,0.0032969229999997296
80,std,37,9,True,0.006981274000000148
81,std,2,1,True,0.00043789700000029796
82,std,2,1,True,0.00040389600000079184
83,std,2,1,True,0.0003381090000003084
84,std,4,3,True,0.0014411210000000452
85,std,2,1,True,0.00043790900000040267
86,std,2,1,True,0.0002791990000003963
87,std,3,2,True,0.0005789460000000801
88,std,5,4,True,0.0015059839999995717
89,std,3,2,True,0.0006277580000002558
90,std,3,2,True,0.000675667000000324
91,std,2,1,True,0.0002832229999993885
92,std,4,3,True,0.0006132309999999919
93,std,18,3,True,0.007574517999999308
94,std,4,2,True,0.0008289210000000935
95,std,3,2,True,0.0002660020000000429
96,std,2,1,True,0.0002813000000001509
97,std,2,1,True,0.0003046510000004332
98,std,3,2,True,5.846800000064434e-05
99,std,18,2,True,0.0013576269999999724
100,std,18,2,True,0.0010087410000005903
