query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,455,5,True,4.214388423999999
2,ming,2,1,True,0.05137162099999948
3,ming,2,1,True,0.07481001500000062
4,ming,3,2,True,0.008978536999999065
5,ming,3,2,True,0.013037776000000889
6,ming,2,1,True,0.011244428999999556
7,ming,3,2,True,0.013346777000000642
8,ming,3,2,True,0.09146793999999936
9,ming,6,5,True,0.5177403149999993
10,ming,3,2,True,0.04687804799999995
11,ming,3,2,True,0.04741892400000047
12,ming,3,2,True,0.08717190300000155
13,ming,5,4,True,0.02360017300000017
14,ming,2,1,True,0.08085600400000104
15,ming,4,3,True,0.023565347999999986
16,ming,2,1,True,0.0544281919999996
17,ming,3,2,True,0.09011523200000049
18,ming,4,3,True,0.045519003999999086
19,ming,4,3,True,0.04248403799999956
20,ming,63,7,True,0.6453964449999994
21,ming,2,1,True,0.01064228899999975
22,ming,3,2,True,0.052458648
23,ming,3,2,True,0.01356944399999982
24,ming,3,2,True,0.011988506000001564
25,ming,2,1,True,0.06793618099999854
26,ming,2,1,True,0.06745096999999944
27,ming,253,5,True,5.6149083499999985
28,ming,5,4,True,0.017563876000000533
29,ming,3,2,True,0.008741866000001153
30,ming,5,4,True,0.05434433099999936
31,ming,3,2,True,0.021731215999999165
32,ming,43,4,True,0.20809061799999995
33,ming,3,2,True,0.02258412599999815
34,ming,7,6,True,0.14319163500000087
35,ming,3,2,True,0.013612475000002178
36,ming,3,2,True,0.013295244000001816
37,ming,6,5,True,0.1299945739999977
38,ming,2,1,True,0.08002959600000281
39,ming,1016,7,True,0.2841221649999994
40,ming,2,1,True,0.05229737799999867
41,ming,2,1,True,0.007555917000001244
42,ming,4,3,True,0.0413674470000025
43,ming,9,8,True,0.2946765020000015
44,ming,3,2,True,0.044201097999998495
45,ming,4,3,True,0.021427350999999817
46,ming,2,1,True,0.0676641480000022
47,ming,2,1,True,9.550500000088391e-05
48,ming,3,2,True,0.009058757999998335
49,ming,3,2,True,0.008622774999999194
50,ming,2,1,True,0.002210959999999318
51,ming,3,2,True,0.04455982599999686
52,ming,91,3,True,0.15223292499999985
53,ming,2,1,True,0.06790295300000082
54,ming,6,5,True,0.08064369199999888
55,ming,37,6,True,1.4583871940000002
56,ming,2,1,True,0.00010288499999688838
57,ming,3,2,True,0.011982384999999596
58,ming,4,3,True,0.018505485999998683
59,ming,3,2,True,0.011638731000001457
60,ming,5,4,True,0.0940274489999986
61,ming,3,2,True,0.00010178999999865823
62,ming,26,3,True,0.10894248800000028
63,ming,3,2,True,0.006854123000000101
64,ming,2,1,True,0.07740400399999814
65,ming,3,2,True,0.00927371399999899
66,ming,22,3,True,0.05440828700000111
67,ming,3,2,True,0.010207009000001932
68,ming,4,3,True,0.006015487999999181
69,ming,2,1,True,7.515100000077268e-05
70,ming,3,2,True,0.009389911999999612
71,ming,26,5,True,0.2760842189999977
72,ming,3,2,True,0.00011152299999750426
73,ming,6,5,True,0.06730729199999885
74,ming,2,1,True,0.05432885399999776
75,ming,2,1,True,0.010132906999999136
76,ming,3,2,True,0.00918613300000004
77,ming,7,2,True,0.010436341999998433
78,ming,2,1,True,0.077885062
79,ming,95,7,True,0.6344718310000026
80,ming,10,9,True,0.3479751170000007
81,ming,2,1,True,0.07030515299999962
82,ming,2,1,True,0.07053921400000007
83,ming,2,1,True,7.665800000111744e-05
84,ming,4,3,True,0.026371554999997215
85,ming,2,1,True,0.07248241899999996
86,ming,2,1,True,6.529599999893776e-05
87,ming,3,2,True,0.007936008999998023
88,ming,5,4,True,0.06593295999999782
89,ming,3,2,True,0.00486881499999825
90,ming,3,2,True,0.009414619999997598
91,ming,2,1,True,0.007436788999999777
92,ming,4,3,True,0.015334347000003135
93,ming,4,3,True,0.016058466999997023
94,ming,3,2,True,0.00663944800000138
95,ming,3,2,True,0.0023483189999993215
96,ming,2,1,True,0.0081501209999999
97,ming,2,1,True,0.04996740599999683
98,ming,3,2,True,0.00010201999999992495
99,ming,3,2,True,0.010230430000000013
100,ming,3,2,True,0.008935225999998408
