query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0004918270000002778
2,std,18,10,True,0.004270561000000228
3,std,3,2,True,0.0012224700000000865
4,std,1000000,0,False,75.05463893
5,std,18,4,True,0.004194044000001895
6,std,15,4,True,0.00788966500000754
7,std,1000000,0,False,76.42370978
8,std,1000000,0,False,72.321453239
9,std,2,1,True,0.00042582899999388246
10,std,2,1,True,0.0005591019999826585
11,std,8,6,True,0.002281689000000142
12,std,3,2,True,0.0007153049999999439
13,std,7,5,True,0.0018637480000052165
14,std,7,6,True,0.001713806999987355
15,std,1000000,0,False,94.43874188599997
16,std,16,5,True,0.004030536000016127
17,std,37,9,True,0.02298981800004185
18,std,18,4,True,0.003751191999981529
19,std,2,1,True,0.00035809600001357467
20,std,5,4,True,0.0012135130000388017
21,std,6,5,True,0.0015223909999804164
22,std,3,2,True,0.0003609579999874768
23,std,1000000,0,False,72.09066889799999
24,std,33,5,True,0.006829487000004519
25,std,1000000,0,False,69.24015217799996
26,std,1000000,0,False,78.60522238300001
27,std,6,5,True,0.0015593319999425148
28,std,2,1,True,0.00046148499995979364
29,std,2,1,True,0.0005072490000657126
30,std,18,4,True,0.001476072000059503
31,std,3,2,True,0.0006037219999370791
32,std,3,2,True,0.000535581999997703
33,std,3,2,True,0.0006268429999636282
34,std,10,3,True,0.0024467989999266138
35,std,18,4,True,0.0015760969999973895
36,std,58,6,True,0.005806416000041281
37,std,18,4,True,0.001080529999967439
38,std,1000000,0,False,71.56326976799994
39,std,23,8,True,0.01790814900004989
40,std,4,3,True,0.0010161210000205756
41,std,18,4,True,0.0014497260000325696
42,std,2,1,True,0.0004483559999926001
43,std,4,3,True,0.0010026239999660902
44,std,1000000,0,False,66.505119304
45,std,11,5,True,0.002931869999997616
46,std,23,11,True,0.003966901000012513
47,std,3,2,True,0.0006495389999372492
48,std,10,9,True,0.00302155400004267
49,std,20,8,True,0.005509929000027114
50,std,79,4,True,0.007257493999986764
51,std,33,5,True,0.0016291370000089955
52,std,1000000,0,False,68.88884830200004
53,std,8,7,True,0.0019724259999520655
54,std,2,1,True,0.00046397599999181693
55,std,95,5,True,0.010202143000014985
56,std,1000000,0,False,88.43083341900001
57,std,7,6,True,0.001610873000004176
58,std,15,6,True,0.00368500000001859
59,std,4,3,True,0.0010980389999986073
60,std,3,2,True,0.0007748169999786114
61,std,1000000,0,False,76.250923349
62,std,18,4,True,0.00435811600004854
63,std,62,4,True,0.011181318000012652
64,std,4,3,True,0.0009166249999452702
65,std,1000000,0,False,74.036895297
66,std,2,1,True,0.00041767399989112164
67,std,4,3,True,0.0009000430000014603
68,std,69,5,True,0.008471438000015041
69,std,4,3,True,0.0009328980000873344
70,std,1000000,0,False,95.463773124
71,std,2,1,True,0.0005356309998205688
72,std,3,2,True,0.0006279950000589452
73,std,22,8,True,0.006000436000022091
74,std,4,3,True,0.0007848800000829215
75,std,7,6,True,0.0015968489999522717
76,std,1000000,0,False,73.23608977699996
77,std,4,3,True,0.001204399000016565
78,std,1000000,0,False,75.87765594999996
79,std,18,4,True,0.003961273999948389
80,std,33,7,True,0.007550539000021672
81,std,35,6,True,0.0068271580000782706
82,std,143,2,True,0.012899854000124833
83,std,5,4,True,0.001143758999887723
84,std,2463,10,True,0.07028988800016123
85,std,4,3,True,0.000885937000020931
86,std,5,4,True,0.0013146440001037263
87,std,18,4,True,0.0012564710000333434
88,std,3,2,True,0.0005053719999068562
89,std,5,3,True,0.0011578300000110175
90,std,1000000,0,False,69.33648201699998
91,std,60963,6,True,3.887217282999927
92,std,7,5,True,0.0019712499999968713
93,std,18,4,True,0.0012655079999603913
94,std,18,4,True,0.0011260119999860763
95,std,1000000,0,False,63.939276586999995
96,std,3,2,True,0.0010178750001159642
97,std,1000000,0,False,89.264542699
98,std,3,2,True,0.000899290999996083
99,std,5,4,True,0.0012581569999383646
100,std,3,2,True,0.0007133850001537212
