query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,6,5,True,0.5080991940000006
2,ming,2,1,True,0.019070766999998767
3,ming,2,1,True,0.022921600000000097
4,ming,3,2,True,0.0032109260000012796
5,ming,3,2,True,0.003766964000000428
6,ming,2,1,True,0.003349768999999725
7,ming,3,2,True,0.003707853999999955
8,ming,3,2,True,0.027086897999998527
9,ming,6,5,True,0.16828902299999982
10,ming,3,2,True,0.01611850500000145
11,ming,3,2,True,0.01654778700000037
12,ming,3,2,True,0.026751065999999213
13,ming,5,4,True,0.010284501000001
14,ming,2,1,True,0.021647616999999286
15,ming,4,3,True,0.007341734999998906
16,ming,2,1,True,0.019472933999999498
17,ming,3,2,True,0.02633763900000119
18,ming,4,3,True,0.011004115000000425
19,ming,4,3,True,0.013310383000000314
20,ming,28,7,True,0.15781219299999982
21,ming,2,1,True,0.0034230820000011875
22,ming,3,2,True,0.020440653999999725
23,ming,3,2,True,0.0036093329999999924
24,ming,3,2,True,0.003868057000000036
25,ming,2,1,True,0.021731661999998764
26,ming,2,1,True,0.022335281999998458
27,ming,6,5,True,0.05837980300000112
28,ming,5,4,True,0.006047530000000023
29,ming,3,2,True,0.0031679059999998316
30,ming,5,4,True,0.020611321999998822
31,ming,3,2,True,0.006414412999999897
32,ming,52,4,True,0.0828807429999987
33,ming,3,2,True,0.006334032999999906
34,ming,7,6,True,0.05923008100000082
35,ming,3,2,True,0.00364594700000076
36,ming,3,2,True,0.0035756049999999817
37,ming,6,5,True,0.1710224450000002
38,ming,2,1,True,0.02346011500000067
39,ming,697,6,True,0.11826568800000103
40,ming,2,1,True,0.019299198000000573
41,ming,2,1,True,0.003142899000000199
42,ming,4,3,True,0.009854530000000139
43,ming,90,8,True,0.5003707500000001
44,ming,3,2,True,0.016724188999999612
45,ming,4,3,True,0.007282452000000106
46,ming,2,1,True,0.021685130999999913
47,ming,2,1,True,6.617200000036405e-05
48,ming,3,2,True,0.002640253000000925
49,ming,3,2,True,0.0027358149999994197
50,ming,2,1,True,0.001073964999999788
51,ming,3,2,True,0.016701835000000997
52,ming,4,3,True,0.020709733999998647
53,ming,2,1,True,0.021929282000000327
54,ming,6,5,True,0.026865753999999242
55,ming,67,6,True,0.4137256469999997
56,ming,2,1,True,0.00010023699999983648
57,ming,3,2,True,0.00275380200000086
58,ming,4,3,True,0.008534321000000844
59,ming,3,2,True,0.0029847449999991227
60,ming,5,4,True,0.02818038500000064
61,ming,3,2,True,0.00011100199999880545
62,ming,17,3,True,0.0334083500000002
63,ming,3,2,True,0.0035457049999987333
64,ming,2,1,True,0.021852370999999593
65,ming,3,2,True,0.0031294640000005813
66,ming,27,3,True,0.02436162500000094
67,ming,3,2,True,0.0037513619999991477
68,ming,4,3,True,0.002427002999999317
69,ming,2,1,True,6.893199999957744e-05
70,ming,3,2,True,0.0031543049999989137
71,ming,8,5,True,0.07880661999999994
72,ming,3,2,True,0.00010001899999956265
73,ming,6,5,True,0.020726543999998626
74,ming,2,1,True,0.01888048100000006
75,ming,2,1,True,0.0032366860000010433
76,ming,3,2,True,0.0030684760000010414
77,ming,23,2,True,0.009919886000000488
78,ming,2,1,True,0.021900578000000337
79,ming,8,7,True,0.19809301599999962
80,ming,22,9,True,0.09197822199999983
81,ming,2,1,True,0.02221213799999866
82,ming,2,1,True,0.0219601229999995
83,ming,2,1,True,7.350399999950241e-05
84,ming,4,3,True,0.008141514000000072
85,ming,2,1,True,0.02231326999999972
86,ming,2,1,True,8.58000000008019e-05
87,ming,3,2,True,0.00456529800000105
88,ming,5,4,True,0.027138992999999445
89,ming,3,2,True,0.002253959999999111
90,ming,3,2,True,0.00335273299999983
91,ming,2,1,True,0.002690491999999267
92,ming,4,3,True,0.006050573999999642
93,ming,4,3,True,0.004671151000000151
94,ming,3,2,True,0.0030540060000010527
95,ming,3,2,True,0.0010957869999987935
96,ming,2,1,True,0.002666796999999832
97,ming,2,1,True,0.01984376300000079
98,ming,3,2,True,0.00010492699999886668
99,ming,3,2,True,0.0029463000000014006
100,ming,3,2,True,0.0027789259999995153
