query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.47426035299999914
2,ming,3,2,True,0.01336694000000005
3,ming,2,1,True,0.04107770899999963
4,ming,519750,0,False,182.429936857
5,ming,3435,4,True,15.394793815999975
6,ming,3,2,True,0.006448314000010669
7,ming,3,2,True,0.012842889000012292
8,ming,4,3,True,0.12068989400000874
9,ming,2,1,True,0.04660078700001691
10,ming,19,15,True,0.08515776400000163
11,ming,2,1,True,0.00010041500001989334
12,ming,2,1,True,0.043679766999986214
13,ming,3,2,True,0.00010546100000397018
14,ming,2,1,True,0.0038826589999985117
15,ming,2,1,True,0.06277944199999297
16,ming,3,2,True,0.006786170999987462
17,ming,2,1,True,0.005041169999998374
18,ming,29,15,True,0.4404127880000033
19,ming,47187,15,True,15.99415884199999
20,ming,2,1,True,0.0023792549999939183
21,ming,39,8,True,3.010286304999994
22,ming,3,2,True,0.01180545999997662
23,ming,2,1,True,0.08485651099999814
24,ming,2,1,True,0.00609916400000543
25,ming,2,1,True,0.0880397749999986
26,ming,3,2,True,0.04962783399997761
27,ming,52684,6,True,22.38443700100001
28,ming,122,5,True,0.501165708000002
29,ming,2,1,True,0.0670080310000003
30,ming,3,2,True,0.0021296840000104567
31,ming,2,1,True,8.577999997783081e-05
32,ming,2,1,True,0.026285400999995545
33,ming,6,5,True,0.10423864000000549
34,ming,2,1,True,9.913100001313069e-05
35,ming,6,5,True,0.1317872300000147
36,ming,2,1,True,9.922699999265205e-05
37,ming,2,1,True,0.05404325599999993
38,ming,2,1,True,9.046099998499813e-05
39,ming,2,1,True,0.00885180099999161
40,ming,4,3,True,0.03299041100001432
41,ming,2,1,True,8.295399999269648e-05
42,ming,4,3,True,0.00989587699999106
43,ming,186052,15,True,12.80277854099998
44,ming,2,1,True,0.04157163499996841
45,ming,2,1,True,0.0027264859999718283
46,ming,5,4,True,0.024896727999987434
47,ming,19,15,True,0.014149926000015967
48,ming,5,4,True,0.07556148599996959
49,ming,2,1,True,0.003085076000047593
50,ming,30014,6,True,94.79251129900001
51,ming,6,5,True,0.2380727599999659
52,ming,31,6,True,2.527726257999973
53,ming,757,15,True,5.1274160180000194
54,ming,54,15,True,0.2585930419999727
55,ming,55,6,True,0.9560520200000155
56,ming,2,1,True,0.08268094099997825
57,ming,7,6,True,0.08463281300004155
58,ming,22,15,True,0.09941054399996574
59,ming,2,1,True,0.021388628000011067
60,ming,2,1,True,0.008926414000029581
61,ming,2,1,True,0.08894615100001602
62,ming,18,2,True,2.957561300000009
63,ming,384,8,True,1.2942912770000135
64,ming,2,1,True,0.005815359999985503
65,ming,82,15,True,0.09471318700002485
66,ming,24,8,True,4.143852406000008
67,ming,133308,15,True,272.70749787899996
68,ming,92,15,True,0.5743127729999742
69,ming,2,1,True,0.003093929999977263
70,ming,2,1,True,0.030802978999986408
71,ming,3,2,True,0.006034290000002329
72,ming,2,1,True,0.012668951000023299
73,ming,2,1,True,0.005884475999891947
74,ming,10167,8,True,7.222401541999943
75,ming,5,4,True,0.1413386190000665
76,ming,484,3,True,14.470165994000013
77,ming,18,2,True,1.0029278419999628
78,ming,9,8,True,0.5599656839999625
79,ming,2,1,True,0.031361919999994825
80,ming,3,2,True,0.004907122999952662
81,ming,2,1,True,0.002056659999993826
82,ming,2,1,True,0.003318001000025106
83,ming,3,2,True,0.004743227999938426
84,ming,188,3,True,0.39448013300000184
85,ming,18,2,True,0.5013698029999887
86,ming,6,5,True,0.05414906799990149
87,ming,2,1,True,8.158400009961042e-05
88,ming,3,2,True,0.008519924999973227
89,ming,2,1,True,9.157700003470381e-05
90,ming,7,6,True,0.09975485899997238
91,ming,3,2,True,0.01282536999997319
92,ming,5325,15,True,5.225743604000058
93,ming,18,2,True,0.013653642999997828
94,ming,5,4,True,0.016240887999970255
95,ming,3,2,True,0.0265584689999514
96,ming,4,3,True,0.020620110999971075
97,ming,2,1,True,0.007969456999944668
98,ming,2,1,True,0.00248468999996021
99,ming,43,15,True,0.6742456309999625
100,ming,2,1,True,0.0070221020000644785
