query,std reasoner,std nodes explored,std min depth,success,time
1,std,3,2,True,0.00119061300000034
2,std,3,2,True,0.0009771770000002178
3,std,2,1,True,0.00043263899999956834
4,std,1000000,0,False,55.465405974999996
5,std,9,4,True,0.0031547259999982202
6,std,3,2,True,0.0009170169999990208
7,std,3,2,True,0.001111571999999228
8,std,1000000,0,False,83.243642542
9,std,2,1,True,0.0004845679999903041
10,std,19,15,True,0.008716501999998627
11,std,2,1,True,6.811000000084277e-05
12,std,2,1,True,0.00037645599999791557
13,std,3,2,True,6.757799999945746e-05
14,std,2,1,True,0.00048655399999120164
15,std,2,1,True,0.0005242889999976796
16,std,3,2,True,0.0008815429999913249
17,std,2,1,True,0.0003708010000025297
18,std,1000000,0,False,121.32159479900002
19,std,1000000,0,False,85.528875002
20,std,2,1,True,0.0005016060000002653
21,std,11,8,True,0.004271374999973432
22,std,3,2,True,0.0010359139999991385
23,std,2,1,True,0.0005536970000434849
24,std,2,1,True,0.0004659749999973428
25,std,2,1,True,0.0005561620000094081
26,std,2,1,True,0.0007665670000278624
27,std,46,6,True,0.018307047000007515
28,std,1000000,0,False,102.242011929
29,std,2,1,True,0.0007526289999759683
30,std,3,2,True,0.0012338699999645542
31,std,2,1,True,0.0004462129999751596
32,std,2,1,True,0.000512684000000263
33,std,1000000,0,False,120.59317941600005
34,std,2,1,True,0.0004820999999992637
35,std,1000000,0,False,64.31196107599999
36,std,2,1,True,9.196000007705152e-05
37,std,2,1,True,0.0006225289999974848
38,std,2,1,True,8.21549999727722e-05
39,std,2,1,True,0.0009156490000350459
40,std,5,4,True,0.0021206459999802973
41,std,2,1,True,0.000654041999951005
42,std,1000000,0,False,89.50552498299999
43,std,1000000,0,False,137.12146946300004
44,std,2,1,True,0.0010474940000904098
45,std,2,1,True,0.0004978529999561943
46,std,5,4,True,0.0029645580000305927
47,std,19,15,True,0.013270965000060642
48,std,697,4,True,0.10956271199995626
49,std,2,1,True,0.0006666130000212434
50,std,1000000,0,False,55.95451713
51,std,474,5,True,0.22446252800000366
52,std,1000000,0,False,35.526653280999994
53,std,1000000,0,False,45.92941370799997
54,std,402,15,True,0.06190059099992595
55,std,1000000,0,False,41.91083334899997
56,std,2,1,True,0.0008257459999185812
57,std,7,6,True,0.0031124820000059117
58,std,22,15,True,0.0066147339998678945
59,std,2,1,True,0.000837264999972831
60,std,2,1,True,0.0005770420000317245
61,std,2,1,True,0.0006506289998924331
62,std,2,1,True,0.0007440950000727753
63,std,11,10,True,0.004389605999904234
64,std,2,1,True,0.0005915560000175901
65,std,5,4,True,0.0014281869998740149
66,std,19,10,True,0.00659329399991293
67,std,1000000,0,False,53.87980001400001
68,std,115,15,True,0.033290565000015704
69,std,2,1,True,0.0005530430000817432
70,std,2,1,True,0.0006238439998469403
71,std,3,2,True,0.0008885570000529697
72,std,2,1,True,0.0007331050001084805
73,std,2,1,True,5.278100002215069e-05
74,std,1000000,0,False,74.65651664300003
75,std,446,4,True,0.07108397999991212
76,std,4,3,True,0.0012851219998992747
77,std,2,1,True,0.0007880570001361775
78,std,1000000,0,False,31.20142835999991
79,std,2,1,True,0.0007209510001757735
80,std,3,2,True,0.0013147230001777643
81,std,2,1,True,0.00043844400011039397
82,std,2,1,True,0.000564413000120112
83,std,3,2,True,0.0012458159999368945
84,std,60,3,True,0.01827396199996656
85,std,3,2,True,0.0010410459999548038
86,std,6,5,True,0.002253201000030458
87,std,2,1,True,5.295799996929418e-05
88,std,3,2,True,0.001016064999930677
89,std,2,1,True,0.00041439699998591095
90,std,1000000,0,False,98.96499095400009
91,std,3,2,True,0.001250016999847503
92,std,1000000,0,False,65.75242705699998
93,std,2,1,True,0.0008628419998331083
94,std,26,4,True,0.031000042999949073
95,std,2,1,True,0.0009115919999658217
96,std,7,4,True,0.0027255140000761457
97,std,2,1,True,0.0005693969999356341
98,std,2,1,True,0.0005039789998591004
99,std,60,15,True,0.017045063000068694
100,std,2,1,True,0.0005544499999814434
