query,std reasoner,std nodes explored,std min depth,success,time
1,std,6,5,True,0.0019238650000001911
2,std,2,1,True,0.00030054900000031637
3,std,2,1,True,0.0004442470000007859
4,std,4,2,True,0.0008203340000001447
5,std,18,2,True,0.008423572000000767
6,std,2,1,True,0.0002593600000002638
7,std,18,2,True,0.007318447000000283
8,std,3,2,True,0.0007289169999999956
9,std,426,5,True,0.2608187629999996
10,std,18,2,True,0.008088443000000112
11,std,18,2,True,0.008083086000000073
12,std,3,2,True,0.0007618349999995999
13,std,36,4,True,0.010701502999999946
14,std,2,1,True,0.0004182100000003075
15,std,4,3,True,0.0008488270000004405
16,std,2,1,True,0.00029165100000039246
17,std,3,2,True,0.0007482740000002153
18,std,4,3,True,0.0011126160000003438
19,std,4,3,True,0.00103107700000038
20,std,61,8,True,0.023860916999999482
21,std,2,1,True,0.0002840749999997172
22,std,3,2,True,0.0004919890000003591
23,std,18,2,True,0.002081943000000308
24,std,3,2,True,0.000794467999999604
25,std,2,1,True,0.00038596100000010125
26,std,2,1,True,0.0003807550000001214
27,std,18,5,True,0.006340547999999835
28,std,19,4,True,0.0120361210000004
29,std,4,2,True,0.0008384989999994374
30,std,41,4,True,0.009142831999999324
31,std,3,2,True,0.0008517910000005458
32,std,22,4,True,0.0036123740000002513
33,std,3,2,True,0.0007021270000002744
34,std,57,8,True,0.019827658000000525
35,std,18,2,True,0.007172682000000208
36,std,18,2,True,0.006832479999999919
37,std,6,5,True,0.001966566000000114
38,std,2,1,True,0.00041119099999953335
39,std,315,7,True,0.04734464700000007
40,std,2,1,True,0.00029773300000002223
41,std,2,1,True,0.00028139799999937765
42,std,4,3,True,0.0009847939999998445
43,std,439,8,True,0.04366664900000039
44,std,18,2,True,0.008072702999999848
45,std,4,3,True,0.0012090540000002648
46,std,2,1,True,0.00041445000000006615
47,std,2,1,True,5.050099999959201e-05
48,std,3,2,True,0.0007868279999998506
49,std,18,2,True,0.0010895579999994354
50,std,2,1,True,0.0002998999999999086
51,std,18,2,True,0.008099639999999297
52,std,71,3,True,0.013786990999999915
53,std,2,1,True,0.0006742009999998189
54,std,6,5,True,0.0018823250000004066
55,std,8,6,True,0.002031822000000183
56,std,2,1,True,7.554899999995257e-05
57,std,18,2,True,0.006340736000000291
58,std,4,3,True,0.00109118900000027
59,std,18,2,True,0.00097103999999959
60,std,5,4,True,0.001172105000000201
61,std,3,2,True,6.692599999968962e-05
62,std,4,3,True,0.0010926930000003665
63,std,3,2,True,0.0007343269999999791
64,std,2,1,True,0.0003908940000005856
65,std,4,2,True,0.0009446229999996447
66,std,5,3,True,0.0008961119999995049
67,std,4,2,True,0.0007835719999995661
68,std,6,3,True,0.0007354550000000515
69,std,2,1,True,0.00028142399999975254
70,std,3,2,True,0.0005927640000003009
71,std,18,5,True,0.002318295000000248
72,std,3,2,True,6.773099999968224e-05
73,std,7,5,True,0.001153589000000288
74,std,2,1,True,0.00027055400000008945
75,std,2,1,True,0.00028113900000015235
76,std,4,2,True,0.0007479879999996442
77,std,17,2,True,0.005618177000000557
78,std,2,1,True,0.00043457200000052154
79,std,35,7,True,0.0031856700000005844
80,std,37,9,True,0.006201926000000135
81,std,2,1,True,0.0004138779999998121
82,std,2,1,True,0.00038947099999919743
83,std,2,1,True,0.0002689130000002038
84,std,4,3,True,0.0013139869999996279
85,std,2,1,True,0.0004122469999998657
86,std,2,1,True,0.0002705179999997753
87,std,3,2,True,0.0005565490000005724
88,std,5,4,True,0.001455098000000099
89,std,3,2,True,0.0005988580000000354
90,std,3,2,True,0.000656925999999558
91,std,2,1,True,0.0002726150000000871
92,std,4,3,True,0.0005825220000001963
93,std,18,3,True,0.006951159000000651
94,std,4,2,True,0.0007908070000004486
95,std,3,2,True,0.0002558319999996783
96,std,2,1,True,0.0002767249999999777
97,std,2,1,True,0.00027731700000011017
98,std,3,2,True,5.701899999976945e-05
99,std,18,2,True,0.001261580999999623
100,std,18,2,True,0.0009563599999999894
