query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.42224906899999937
2,ming,2794,12,True,8.726351886
3,ming,3,2,True,0.025448553999996903
4,ming,161,5,True,1.0944870900000012
5,ming,5,4,True,0.017649784000003166
6,ming,5,4,True,0.020217816999998917
7,ming,8,7,True,0.3685230019999999
8,ming,3,2,True,0.020599305999997597
9,ming,2,1,True,0.004640691999998836
10,ming,2,1,True,0.022667359999999803
11,ming,7,6,True,0.06054803600000014
12,ming,3,2,True,0.016156925000000655
13,ming,279845,5,True,413.20106237
14,ming,7,6,True,0.06553517300000067
15,ming,7818,9,True,9.101041114999987
16,ming,6,5,True,0.04532268999997768
17,ming,10,9,True,0.18750680400000874
18,ming,4,3,True,0.08357607499999631
19,ming,2,1,True,0.01608125199999222
20,ming,5,4,True,0.03720910999999205
21,ming,6,5,True,0.08890604599997687
22,ming,3,2,True,0.007205392999992455
23,ming,3,2,True,0.03769166300003235
24,ming,6,5,True,0.05858001100000365
25,ming,3,2,True,0.029786354000009396
26,ming,9,8,True,0.15230818500003807
27,ming,6,5,True,0.06480518899996923
28,ming,2,1,True,0.011757122000005893
29,ming,2,1,True,0.024891618000026483
30,ming,4,3,True,0.0631269639999914
31,ming,3,2,True,0.007760116999975253
32,ming,3,2,True,0.02852053000003707
33,ming,3,2,True,0.004620526999985941
34,ming,4,3,True,0.03794062499997608
35,ming,4,3,True,0.028577075999976387
36,ming,7,6,True,0.13963528300001826
37,ming,4,3,True,0.09268822000001364
38,ming,3,2,True,0.048570307999966644
39,ming,9,8,True,0.16310764199999994
40,ming,4,3,True,0.042610522000018136
41,ming,4,3,True,0.016963587000020652
42,ming,6,5,True,0.061887836999972023
43,ming,4,3,True,0.00815768699999353
44,ming,3,2,True,0.019857543999989957
45,ming,6,5,True,0.06149664899999152
46,ming,12,11,True,0.08993352999999615
47,ming,3,2,True,0.015095046999988426
48,ming,62,9,True,2.2987668159999544
49,ming,9,8,True,0.11440658399999393
50,ming,5,4,True,0.05173601699999608
51,ming,6,5,True,0.0351331609999761
52,ming,3,2,True,0.03752473099996223
53,ming,23,7,True,0.6584101189999956
54,ming,2,1,True,0.011437827999998262
55,ming,6,5,True,0.043997955000008915
56,ming,6,5,True,0.22513485999996874
57,ming,7,6,True,0.10185965899995608
58,ming,3697,6,True,9.429177186000004
59,ming,4,3,True,0.03465406000003668
60,ming,3,2,True,0.037576952999984314
61,ming,2754,3,True,10.433839200000023
62,ming,5,4,True,0.018451103000018065
63,ming,5,4,True,0.009665184000027693
64,ming,4,3,True,0.012410320000014963
65,ming,6,5,True,0.1339295760000141
66,ming,2,1,True,0.016380462000029183
67,ming,4,3,True,0.027234576000012112
68,ming,6,5,True,0.0702765470000486
69,ming,4,3,True,0.021638545999962844
70,ming,11,10,True,0.6739475200000129
71,ming,2,1,True,0.01681009499998254
72,ming,3,2,True,0.009635857999967357
73,ming,9,8,True,0.12955223199998045
74,ming,4,3,True,0.02776391499997999
75,ming,7,6,True,0.10151069800002688
76,ming,5,4,True,0.041108613999995214
77,ming,4,3,True,0.026547641000036037
78,ming,5,4,True,0.05681356700000606
79,ming,4,3,True,0.017607613999985006
80,ming,8,7,True,0.0788059340000018
81,ming,132,6,True,1.6373091690000479
82,ming,3,2,True,0.015491550000035659
83,ming,5,4,True,0.012975778999987142
84,ming,44,10,True,1.2125791960000356
85,ming,4,3,True,0.024030573999993976
86,ming,150,4,True,3.798955109000019
87,ming,4,3,True,0.028897340000014538
88,ming,3,2,True,0.006179373000009036
89,ming,5,4,True,0.07350955699996575
90,ming,5,4,True,0.03690619000002471
91,ming,129408,6,True,215.87711557799997
92,ming,6,5,True,0.08556721700006165
93,ming,4,3,True,0.03497775599998931
94,ming,4,3,True,0.043411609000031604
95,ming,6,5,True,0.12471107600003961
96,ming,3,2,True,0.036725402999991275
97,ming,10,9,True,0.13424162300009357
98,ming,3,2,True,0.030911898999988807
99,ming,5,4,True,0.04558154599999398
100,ming,3,2,True,0.05282917600004566
