query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0005289749999999316
2,std,18,10,True,0.004291976000000197
3,std,3,2,True,0.00074848799999927
4,std,1000000,0,False,71.22974438199999
5,std,18,4,True,0.0040095720000010715
6,std,15,4,True,0.003819478000011145
7,std,1000000,0,False,73.414038952
8,std,1000000,0,False,69.24213083500001
9,std,2,1,True,0.00041471099999057515
10,std,2,1,True,0.0005461709999963205
11,std,8,6,True,0.002210329000007505
12,std,3,2,True,0.0007065009999962513
13,std,7,5,True,0.0018088300000158597
14,std,7,6,True,0.0016601440000272305
15,std,1000000,0,False,89.240097725
16,std,16,5,True,0.003856857000016589
17,std,37,9,True,0.01868251199999804
18,std,18,4,True,0.003638318000014351
19,std,2,1,True,0.00032915499997443476
20,std,5,4,True,0.0011359620000348514
21,std,6,5,True,0.0014428310000198508
22,std,3,2,True,0.00032633000000714674
23,std,1000000,0,False,68.14504011999998
24,std,33,5,True,0.006767986999989262
25,std,1000000,0,False,66.09699685499999
26,std,1000000,0,False,76.32086614900004
27,std,6,5,True,0.0015368080000826012
28,std,2,1,True,0.0004811480000626034
29,std,2,1,True,0.0005163260000244918
30,std,18,4,True,0.001532464999968397
31,std,3,2,True,0.0006161620000284529
32,std,3,2,True,0.0005518960000472362
33,std,3,2,True,0.0006482310000137659
34,std,10,3,True,0.0024694909999425363
35,std,18,4,True,0.0016408599999522266
36,std,58,6,True,0.00586530100008531
37,std,18,4,True,0.0011062170000286642
38,std,1000000,0,False,68.49564100999999
39,std,23,8,True,0.016608114000064234
40,std,4,3,True,0.000926462999927935
41,std,18,4,True,0.0013984519999894474
42,std,2,1,True,0.0004481329999634909
43,std,4,3,True,0.0009934090001024742
44,std,1000000,0,False,63.900314625999954
45,std,11,5,True,0.002547954999954527
46,std,23,11,True,0.003319138999927418
47,std,3,2,True,0.0005515130000048885
48,std,10,9,True,0.0026963039999827743
49,std,20,8,True,0.0048270470000488785
50,std,79,4,True,0.006741661999967619
51,std,33,5,True,0.0014170680000233915
52,std,1000000,0,False,66.51722973899996
53,std,8,7,True,0.0017407560000037847
54,std,2,1,True,0.0004296340000564669
55,std,95,5,True,0.009623081999961869
56,std,1000000,0,False,84.41306883100003
57,std,7,6,True,0.001546566999991228
58,std,15,6,True,0.003412410999999338
59,std,4,3,True,0.0010378570000284526
60,std,3,2,True,0.0007332289999339991
61,std,1000000,0,False,73.08009811199997
62,std,18,4,True,0.004158293999921625
63,std,62,4,True,0.010245553000004293
64,std,4,3,True,0.0009047990000681239
65,std,1000000,0,False,69.33879637799998
66,std,2,1,True,0.0003852579999374939
67,std,4,3,True,0.0008249779999687235
68,std,69,5,True,0.008069594000062352
69,std,4,3,True,0.0009195259999614791
70,std,1000000,0,False,91.10937551699999
71,std,2,1,True,0.0005010550000861258
72,std,3,2,True,0.0006051010000192036
73,std,22,8,True,0.005742645000054836
74,std,4,3,True,0.0007435980000991549
75,std,7,6,True,0.001542937000067468
76,std,1000000,0,False,70.4816169159999
77,std,4,3,True,0.00105586199993013
78,std,1000000,0,False,72.78918860199997
79,std,18,4,True,0.0038349620001554285
80,std,33,7,True,0.0072052559999065124
81,std,35,6,True,0.0065043950000927
82,std,143,2,True,0.01248630800000683
83,std,5,4,True,0.0011218779998216633
84,std,2463,10,True,0.06711751400007415
85,std,4,3,True,0.0008364169998458237
86,std,5,4,True,0.0012358349999885831
87,std,18,4,True,0.0012347249999038468
88,std,3,2,True,0.00048972100012179
89,std,5,3,True,0.0011266760000125942
90,std,1000000,0,False,69.05130251800006
91,std,60963,6,True,3.651375800000096
92,std,7,5,True,0.0019553130000531382
93,std,18,4,True,0.001248395000175151
94,std,18,4,True,0.0011301199999707023
95,std,1000000,0,False,61.046977389000176
96,std,3,2,True,0.0009763470000052621
97,std,1000000,0,False,86.67448214499996
98,std,3,2,True,0.0008920569998736028
99,std,5,4,True,0.0012245109999184933
100,std,3,2,True,0.0006990510000832728
