query,std reasoner,std nodes explored,std min depth,success,time
1,std,3,2,True,0.000975785999999701
2,std,3,2,True,0.0008074520000000973
3,std,2,1,True,0.00033030500000030827
4,std,1000000,0,False,56.505893912
5,std,9,4,True,0.0030475440000046206
6,std,3,2,True,0.0008610620000055746
7,std,3,2,True,0.0010647099999943066
8,std,1000000,0,False,82.163981938
9,std,2,1,True,0.00045873700000242934
10,std,19,15,True,0.00865136900000607
11,std,2,1,True,5.495199999927536e-05
12,std,2,1,True,0.00037190599999803453
13,std,3,2,True,6.507399999122754e-05
14,std,2,1,True,0.00047172399999340087
15,std,2,1,True,0.0005160529999841401
16,std,3,2,True,0.0008349579999844536
17,std,2,1,True,0.0003552530000092702
18,std,1000000,0,False,123.26151890899999
19,std,1000000,0,False,86.2016145
20,std,2,1,True,0.0005001430000106666
21,std,11,8,True,0.004203930000016953
22,std,3,2,True,0.0010401600000022881
23,std,2,1,True,0.0005400460000259955
24,std,2,1,True,0.00044379000001981694
25,std,2,1,True,0.0005255229999647781
26,std,2,1,True,0.0007251769999925273
27,std,46,6,True,0.01748758500002623
28,std,1000000,0,False,105.13700019199996
29,std,2,1,True,0.0007939850000298065
30,std,3,2,True,0.001368938000041453
31,std,2,1,True,0.00048578199999838034
32,std,2,1,True,0.0005766329999801201
33,std,1000000,0,False,119.62715319099999
34,std,2,1,True,0.0004637870000578914
35,std,1000000,0,False,66.08764874400003
36,std,2,1,True,7.38830000273083e-05
37,std,2,1,True,0.0006386930000417124
38,std,2,1,True,7.356399999025598e-05
39,std,2,1,True,0.0011414980000381547
40,std,5,4,True,0.0030640819999234736
41,std,2,1,True,0.0009356769999158132
42,std,1000000,0,False,90.47319151600004
43,std,1000000,0,False,139.318359827
44,std,2,1,True,0.0007639579999931811
45,std,2,1,True,0.0004567999999380845
46,std,5,4,True,0.0019267190000391565
47,std,19,15,True,0.010027459999946586
48,std,697,4,True,0.10257162899995365
49,std,2,1,True,0.0006499849999954677
50,std,1000000,0,False,53.08993783200003
51,std,474,5,True,0.21593311999993148
52,std,1000000,0,False,33.67742233199999
53,std,1000000,0,False,45.81826926300005
54,std,402,15,True,0.061672669999893515
55,std,1000000,0,False,42.00628954900003
56,std,2,1,True,0.000761168000053658
57,std,7,6,True,0.002783705000183545
58,std,22,15,True,0.006209319999925356
59,std,2,1,True,0.0007731489999969199
60,std,2,1,True,0.0005254570000943204
61,std,2,1,True,0.0006078820001675922
62,std,2,1,True,0.0006903119999606133
63,std,11,10,True,0.004097319000038624
64,std,2,1,True,0.0005346840000584052
65,std,5,4,True,0.0013529520001611672
66,std,19,10,True,0.006235424000124112
67,std,1000000,0,False,55.604909690999875
68,std,115,15,True,0.03355272699991474
69,std,2,1,True,0.0005776279999736289
70,std,2,1,True,0.0006397279998964223
71,std,3,2,True,0.0009142740000243066
72,std,2,1,True,0.0007445900000675465
73,std,2,1,True,6.127500000729924e-05
74,std,1000000,0,False,75.31106455400004
75,std,446,4,True,0.07052661799980342
76,std,4,3,True,0.0012449219998416083
77,std,2,1,True,0.0007738970000445988
78,std,1000000,0,False,31.324302017000036
79,std,2,1,True,0.0007836429999770189
80,std,3,2,True,0.0014012229999025294
81,std,2,1,True,0.00044791100003749307
82,std,2,1,True,0.0005617950000669225
83,std,3,2,True,0.00126886399993964
84,std,60,3,True,0.018795114000113244
85,std,3,2,True,0.001058173000046736
86,std,6,5,True,0.0023572210000111227
87,std,2,1,True,5.287599992698233e-05
88,std,3,2,True,0.0010294160001649288
89,std,2,1,True,0.0004164639999544306
90,std,1000000,0,False,100.7500423890001
91,std,3,2,True,0.0013524609998967208
92,std,1000000,0,False,67.625988946
93,std,2,1,True,0.0009153720000085741
94,std,26,4,True,0.03062773599981483
95,std,2,1,True,0.0009142509998127935
96,std,7,4,True,0.0027870910000729054
97,std,2,1,True,0.0005895690001125331
98,std,2,1,True,0.0004990420000012818
99,std,60,15,True,0.017516290999992634
100,std,2,1,True,0.0005718089998936193
