query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.5106627229999994
2,ming,607,12,True,12.263548564
3,ming,3,2,True,0.10351864800000143
4,ming,20,5,True,5.644184954
5,ming,6,5,True,0.10639952900000083
6,ming,5,4,True,0.0638314140000027
7,ming,3511,7,True,21.118255868000002
8,ming,3,2,True,0.08478426599999977
9,ming,2,1,True,0.020284207000003107
10,ming,2,1,True,0.09042605600000542
11,ming,7,6,True,0.2809477919999992
12,ming,3,2,True,0.06893795199999886
13,ming,6,5,True,0.09669361800000331
14,ming,7,6,True,0.13393359100000168
15,ming,367,9,True,15.144428807999994
16,ming,6,5,True,0.1303995000000029
17,ming,10,9,True,0.28345113099999963
18,ming,4,3,True,0.09097092400000406
19,ming,2,1,True,0.01984415299999398
20,ming,5,4,True,0.08618280299999981
21,ming,6,5,True,0.21910511199999405
22,ming,3,2,True,0.008181847999992442
23,ming,3,2,True,0.04661205300000404
24,ming,6,5,True,0.08461303800000053
25,ming,3,2,True,0.047275861000002806
26,ming,9,8,True,0.2909413289999918
27,ming,6,5,True,0.14292300300000704
28,ming,2,1,True,0.01986925500000325
29,ming,2,1,True,0.04753126599999291
30,ming,4,3,True,0.11876713399999517
31,ming,3,2,True,0.011680424000005019
32,ming,3,2,True,0.04636396299999035
33,ming,3,2,True,0.007756837000002292
34,ming,4,3,True,0.11711493500000358
35,ming,4,3,True,0.11865537999999276
36,ming,7,6,True,0.09750663100000168
37,ming,4,3,True,0.12006500600000436
38,ming,3,2,True,0.08759679400000664
39,ming,9,8,True,0.2784646359999954
40,ming,4,3,True,0.11272190600000442
41,ming,4,3,True,0.00013991899999155066
42,ming,2,1,True,0.01973548499999822
43,ming,4,3,True,0.03676269100000695
44,ming,3,2,True,0.04633633800000325
45,ming,6,5,True,0.08082036900000844
46,ming,12,11,True,0.4787318949999957
47,ming,3,2,True,0.055863740999996025
48,ming,90,9,True,2.953151667
49,ming,9,8,True,0.14996057900000892
50,ming,5,4,True,0.07033456500001023
51,ming,6,5,True,0.05896264800000495
52,ming,3,2,True,0.04855632299999968
53,ming,8,7,True,0.208787944000008
54,ming,2,1,True,0.021052046999997742
55,ming,6,5,True,0.08855605400000854
56,ming,6,5,True,0.3467509689999986
57,ming,7,6,True,0.1160906669999946
58,ming,7,6,True,0.159190382999995
59,ming,4,3,True,0.08797255199999654
60,ming,160,2,True,4.4393461979999955
61,ming,10702,3,True,23.972653723999997
62,ming,5,4,True,0.06878069799999764
63,ming,5,4,True,0.03943184700000302
64,ming,4,3,True,0.0635952020000019
65,ming,6,5,True,0.19112951900000041
66,ming,2,1,True,0.019105260000003454
67,ming,4,3,True,0.03352689499999428
68,ming,6,5,True,0.09067592600000296
69,ming,4,3,True,0.01578041700000199
70,ming,11,10,True,1.3554254139999955
71,ming,2,1,True,0.021953109999998333
72,ming,3,2,True,0.011939684000012107
73,ming,9,8,True,0.17324982099999886
74,ming,4,3,True,0.03983697699999311
75,ming,7,6,True,0.2690645480000029
76,ming,29,4,True,1.6033861899999948
77,ming,4,3,True,0.06262484299999471
78,ming,5,4,True,0.2709383880000047
79,ming,4,3,True,0.10198641099999861
80,ming,8,7,True,0.5341118419999873
81,ming,7,6,True,0.14798244400000726
82,ming,3,2,True,0.02838829600000281
83,ming,5,4,True,0.07525680400000567
84,ming,11,10,True,1.078450441000001
85,ming,4,3,True,0.03786780899999087
86,ming,110,4,True,3.6501249189999925
87,ming,4,3,True,0.09538146500000266
88,ming,3,2,True,0.026958820999993804
89,ming,60406,3,True,80.05143016500001
90,ming,5,4,True,0.062327014999993935
91,ming,7,6,True,0.3101514910000276
92,ming,6,5,True,0.19219216100000835
93,ming,4,3,True,0.09513641899999925
94,ming,4,3,True,0.11942220599999587
95,ming,60167,3,True,29.515735046999993
96,ming,3,2,True,0.07581546399998729
97,ming,10,9,True,0.23027656699997578
98,ming,3,2,True,0.07058173499999043
99,ming,5,4,True,0.036571175999995376
100,ming,3,2,True,0.0495757969999886
