query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,9,6,True,0.8355500899999999
2,ming,10,3,True,0.19344708499999896
3,ming,24,6,True,0.43426303099999863
4,ming,15,8,True,0.0808955460000007
5,ming,4,3,True,0.40139645300000026
6,ming,29,6,True,0.04994459199999923
7,ming,4,3,True,0.1874960820000009
8,ming,4,3,True,0.017762815000001098
9,ming,6,5,True,0.8089869249999992
10,ming,2,1,True,0.14567730599999962
11,ming,2,1,True,9.836499999948956e-05
12,ming,4,3,True,0.21787463699999954
13,ming,7,6,True,0.058456844000000174
14,ming,4,3,True,0.19524017700000051
15,ming,2,1,True,0.00011626899999939155
16,ming,8,5,True,0.02291138500000045
17,ming,60,9,True,2.0713549779999987
18,ming,12,8,True,0.4957781289999996
19,ming,3,2,True,0.004495159000001081
20,ming,50,3,True,0.0152376959999998
21,ming,4,3,True,0.06642368300000001
22,ming,4,3,True,0.05191987699999956
23,ming,38,12,True,0.48624079200000025
24,ming,4,3,True,0.02083501399999932
25,ming,3,2,True,0.009583360000000596
26,ming,46217,0,False,18.027517618
27,ming,31754,0,False,15.031960247999997
28,ming,4,3,True,0.3346537040000044
29,ming,18,9,True,0.39173444900000476
30,ming,18,5,True,0.37685857099999964
31,ming,4,3,True,0.649074487
32,ming,883,15,True,8.469887835999998
33,ming,4,3,True,0.6445079000000007
34,ming,2,1,True,0.2227250440000006
35,ming,4,3,True,0.1485618250000016
36,ming,132,13,True,0.5630350380000024
37,ming,257,7,True,1.1257086389999955
38,ming,5,3,True,0.016621929999999452
39,ming,4,3,True,0.06148346199999821
40,ming,7,6,True,0.35078163200000034
41,ming,11,4,True,0.1205862489999987
42,ming,294,8,True,2.477555676999998
43,ming,7,3,True,0.018873326999994333
44,ming,4,3,True,0.047756327000001875
45,ming,80,8,True,0.6832469019999934
46,ming,528,9,True,2.800196287999995
47,ming,4,3,True,0.034580280999989554
48,ming,45,6,True,1.3705253260000063
49,ming,34,7,True,0.0796867570000046
50,ming,4,3,True,0.058486784999999486
51,ming,24,6,True,0.05504846600000235
52,ming,1239,15,True,8.240695824
53,ming,86,9,True,1.779152885000002
54,ming,4,3,True,0.33474569100000906
55,ming,8,7,True,1.2234697429999954
56,ming,18130,12,True,6.933508477999993
57,ming,2,1,True,0.003473507999999015
58,ming,16,5,True,0.051659775000004515
59,ming,6042,12,True,6.311704329999998
60,ming,4,3,True,0.015273114999999393
61,ming,5,3,True,0.016697683999993274
62,ming,4,3,True,0.30794679599999597
63,ming,4,3,True,0.06702525899999046
64,ming,15712,15,True,15.540719797999998
65,ming,4,3,True,0.01823030699999606
66,ming,4,3,True,0.01750793899999792
67,ming,4,3,True,0.00021632700000395744
68,ming,8,6,True,0.05228815000000964
69,ming,4,3,True,0.06235303900000133
70,ming,5197,7,True,3.113620143999995
71,ming,4,3,True,0.005412542000001963
72,ming,329,9,True,0.9724540999999931
73,ming,8,7,True,0.4786900520000046
74,ming,80,9,True,0.12555939199999955
75,ming,19,6,True,0.043598969000001375
76,ming,2,1,True,0.00011775100000477323
77,ming,36,5,True,0.6238680899999878
78,ming,4,3,True,0.37900549599999067
79,ming,8,6,True,0.28931101700000283
80,ming,9,8,True,1.4859752560000032
81,ming,4,3,True,0.0057474440000078175
82,ming,4,3,True,0.08636806600000568
83,ming,833,14,True,2.460301728999994
84,ming,23261,0,False,5.993005081999996
85,ming,9,6,True,1.082888570999998
86,ming,6,3,True,0.014728694999988079
87,ming,4,3,True,0.05951056000000676
88,ming,4,3,True,0.01040506100000016
89,ming,4,3,True,0.00028137500000013915
90,ming,8,7,True,0.41125568000001067
91,ming,126,15,True,1.6224573599999985
92,ming,6,3,True,0.017472082000011824
93,ming,4,3,True,0.0002451259999816102
94,ming,6,5,True,0.05824816900002361
95,ming,14,9,True,0.17207395199997677
96,ming,33,8,True,0.19112376000001063
97,ming,36633,0,False,14.051596474000007
98,ming,4,3,True,0.03489629800000671
99,ming,4,3,True,0.3187720760000161
100,ming,107443,0,False,26.59225050500001
